Unemployment Rate (percent),,None.1,None.2,None.3,None.4,None.5,None.6,None.7,None.8,Unnamed: 10,Unnamed: 11
10.0,10.5,7.7,5.8,5.0,3.8,4.6,7.1,5.1,,38275,0.67643992011735
5.8,6.9,6.4,5.9,5.1,4.8,4.1,4.1,3.6,,38777,0.685311842779633
10.9,11.6,9.4,7.0,6.4,5.6,8.1,10.9,7.7,,34777,0.614619231924783
7.5,8.6,7.7,6.7,6.0,4.8,4.7,5.4,4.3,,37789,0.667850767898485
8.1,8.3,6.1,4.6,4.3,3.4,4.6,6.4,4.1,,53474,0.945054168213068
7.1,7.1,6.6,6.4,5.9,4.3,4.6,4.6,3.2,,36539,0.645759327006345
8.0,8.0,7.8,6.8,6.2,4.9,3.9,3.7,3.4,,69448,1.22736510966191
8.8,9.2,9.5,8.5,7.9,6.4,5.2,4.9,4.6,,42048,0.743120725306187
6.3,6.4,6.0,5.6,5.4,4.2,3.9,4.1,3.4,,43787,0.773854337875334
8.7,8.5,8.3,7.3,7.1,5.5,4.2,4.4,4.2,,38559,0.681459095488044
8.6,8.1,8.3,7.1,7.0,5.3,4.1,3.8,3.3,,46347,0.819097608822438
5.5,6.1,5.8,4.8,4.4,3.4,3.3,3.6,3.2,,53776,0.950391460332609
6.0,7.0,6.6,5.4,5.4,4.5,3.8,4.3,3.5,,46247,0.817330293551067
6.5,7.9,7.7,6.4,8.8,7.1,5.5,5.0,5.5,,40536,0.716398918403054
5.7,6.6,7.3,5.8,5.2,4.3,4.0,3.7,3.4,,36056,0.637223194245621
7.1,7.6,7.1,6.0,5.5,4.5,4.3,5.0,4.6,,90972,1.60776204867186
6.8,8.6,8.2,7.4,6.5,5.2,4.9,4.9,4.6,,44202,0.781188696251524
6.3,8.2,7.8,6.7,6.9,5.6,5.4,6.7,6.3,,45681,0.807327289115105
7.5,7.3,6.5,5.0,4.7,3.6,3.8,4.9,3.8,,39193,0.692663874308538
6.3,5.9,5.1,4.2,4.2,3.3,3.2,3.7,3.0,,51910,0.917413357368821
8.2,9.1,8.8,7.6,6.9,5.6,5.0,5.3,5.2,,64155,1.13382111234823
5.2,5.9,6.0,5.0,4.5,3.7,3.7,3.9,3.3,,44210,0.781330081473234
4.4,5.5,5.3,4.7,4.4,3.5,2.9,2.8,2.6,,58787,1.03895162858102
4.6,4.8,4.3,4.1,3.6,2.7,2.8,3.9,2.6,,71360,1.26115617765053
6.9,7.4,6.5,5.5,5.2,4.1,4.4,5.8,4.9,,55264,0.976689111570613
5.5,6.8,6.2,5.1,5.1,3.9,3.7,4.2,3.5,,45491,0.8039693900995
8.1,8.6,6.8,5.6,5.2,4.0,5.6,6.9,5.3,,47828,0.845271547991446
8.0,8.2,7.9,6.8,6.3,4.8,4.0,3.8,3.5,,51808,0.915610695792022
7.1,7.9,7.1,6.2,5.9,4.8,4.9,6.1,5.1,,45594,0.805789724829012
8.6,8.9,7.8,6.4,6.0,4.8,5.3,6.6,5.3,,50891,0.899404414753548
6.4,6.7,6.5,5.7,5.5,4.3,3.5,3.6,3.3,,67683,1.19617199512221
6.0,7.4,7.5,6.9,13.3,9.4,6.3,5.6,5.1,,40152,0.709612427760988
8.2,9.1,8.7,7.7,7.1,6.3,5.3,6.7,6.2,,30971,0.547355212696393
5.6,6.8,6.3,5.8,6.0,4.6,4.7,4.9,3.9,,45718,0.807981195765513
5.2,4.3,4.1,3.4,3.3,2.5,3.0,3.1,2.5,,57832,1.02207376773943
7.3,8.3,6.9,5.9,5.8,4.9,4.9,3.9,3.9,,35521,0.627768057543785
8.5,9.9,9.5,8.4,8.0,6.3,5.6,6.1,6.1,,60692,1.07261898450065
7.6,8.3,7.8,6.6,6.1,5.0,4.6,5.3,5.0,,56415,0.997030910344096
8.2,9.4,8.5,7.4,6.8,5.5,5.2,6.0,5.2,,47181,0.833837018185674
4.1,4.2,3.9,3.3,3.1,2.5,2.1,2.0,2.0,,70121,1.23925914143824
5.1,5.4,5.4,5.3,4.9,3.9,3.5,4.2,4.7,,34653,0.612427760988283
6.6,7.0,6.7,5.8,5.3,4.3,3.4,3.3,3.1,,64864,1.14635137762225
3.4,3.9,3.5,2.9,3.0,2.4,3.1,3.7,2.5,,74856,1.32294151953767
8.1,8.8,8.5,7.6,7.1,5.6,4.9,4.7,4.2,,43425,0.76745665659297
10.5,11.8,11.6,10.6,10.3,8.8,7.9,7.8,7.4,,35928,0.634961030698266
