country_code,rank,country,gdp
GMB,185,"Gambia, The",1015.0
KNA,186,St. Kitts and Nevis,946.0
VUT,187,Vanuatu,863.0
WSM,188,Samoa,857.0
VCT,189,St. Vincent and the Grenadines,790.0
ASM,190,American Samoa,658.0
COM,191,Comoros,649.0
DMA,192,Dominica,563.0
TON,193,Tonga,426.0
STP,194,São Tomé and Principe,391.0
FSM,195,"Micronesia, Fed. Sts.",336.0
PLW,196,Palau,292.0
MHL,197,Marshall Islands,199.0
KIR,198,Kiribati,196.0
NRU,199,Nauru,114.0
TUV,200,Tuvalu,40.0
