Host_Country,2017,Year,Origin,Refugees,Asylum-seekers,Returned refugees,Internally_Displaced_Persons_(IDPs),Returned_IDPs,Stateless persons,Others_of_concern,Total_Population,country_code,rank,gdp,gdp_per_capita
Kuwait,4136528.0,2017.0,Syrian Arab Rep.,44.0,31.0,,,,,,75.0,KWT,58.0,120126.0,29040.3
Lebanon,6082357.0,2017.0,Syrian Arab Rep.,992127.0,8.0,,,,,2248.0,994383.0,LBN,81.0,51844.0,8523.67
Liberia,4731906.0,2017.0,Syrian Arab Rep.,7.0,6.0,,,,,,13.0,LBR,172.0,2158.0,456.05
Libya,6374616.0,2017.0,Syrian Arab Rep.,257.0,21890.0,,,,,,22147.0,LBY,82.0,50984.0,7997.97
Liechtenstein,37922.0,2017.0,Syrian Arab Rep.,32.0,,,,,,,33.0,LIE,151.0,6289.0,165840.41
Sri Lanka,21444000.0,2017.0,Syrian Arab Rep.,14.0,,,,,,,14.0,LKA,65.0,87175.0,4065.24
Lithuania,2827721.0,2017.0,Syrian Arab Rep.,362.0,52.0,,,,,,414.0,LTU,87.0,47168.0,16680.57
Luxembourg,599449.0,2017.0,Syrian Arab Rep.,686.0,225.0,,,,,,911.0,LUX,73.0,62404.0,104102.27
Latvia,1940740.0,2017.0,Syrian Arab Rep.,393.0,,,,,,,393.0,LVA,98.0,30264.0,15594.05
Morocco,35739580.0,2017.0,Syrian Arab Rep.,2953.0,,,,,,,2953.0,MAR,61.0,109139.0,3053.73
Mexico,129163276.0,2017.0,Syrian Arab Rep.,23.0,,,,,,,23.0,MEX,15.0,1149919.0,8902.83
Mali,18541980.0,2017.0,Syrian Arab Rep.,9.0,,,,,,,9.0,MLI,118.0,15288.0,824.51
Malta,465292.0,2017.0,Syrian Arab Rep.,1289.0,251.0,,,,,,1540.0,MLT,128.0,12538.0,26946.52
Montenegro,622471.0,2017.0,Syrian Arab Rep.,,47.0,,,,,,49.0,MNE,157.0,4774.0,7669.43
Mauritania,4420184.0,2017.0,Syrian Arab Rep.,464.0,112.0,,,,,,576.0,MRT,154.0,5025.0,1136.83
Malaysia,31624264.0,2017.0,Syrian Arab Rep.,372.0,1937.0,,,,,,2309.0,MYS,37.0,314500.0,9944.9
