Year,Host_Country,Origin,Refugees,Asylum-seekers,Returned refugees,Internally_Displaced_Persons_(IDPs),Returned_IDPs,Stateless persons,Others_of_concern,Total_Population,country_code,rank,gdp
2017.0,Liberia,Syrian Arab Rep.,7.0,6.0,,,,,,13.0,LBR,172.0,2158.0
2017.0,Libya,Syrian Arab Rep.,257.0,21890.0,,,,,,22147.0,LBY,82.0,50984.0
2017.0,Liechtenstein,Syrian Arab Rep.,32.0,,,,,,,33.0,LIE,151.0,6289.0
2017.0,Sri Lanka,Syrian Arab Rep.,14.0,,,,,,,14.0,LKA,65.0,87175.0
2017.0,Lithuania,Syrian Arab Rep.,362.0,52.0,,,,,,414.0,LTU,87.0,47168.0
2017.0,Luxembourg,Syrian Arab Rep.,686.0,225.0,,,,,,911.0,LUX,73.0,62404.0
2017.0,Latvia,Syrian Arab Rep.,393.0,,,,,,,393.0,LVA,98.0,30264.0
2017.0,Morocco,Syrian Arab Rep.,2953.0,,,,,,,2953.0,MAR,61.0,109139.0
2017.0,Rep. of Moldova,Syrian Arab Rep.,204.0,16.0,,,,,,220.0,,,
2017.0,Mexico,Syrian Arab Rep.,23.0,,,,,,,23.0,MEX,15.0,1149919.0
2017.0,The former Yugoslav Republic of Macedonia,Syrian Arab Rep.,15.0,,,,,,,18.0,,,
2017.0,Mali,Syrian Arab Rep.,9.0,,,,,,,9.0,MLI,118.0,15288.0
2017.0,Malta,Syrian Arab Rep.,1289.0,251.0,,,,,,1540.0,MLT,128.0,12538.0
2017.0,Montenegro,Syrian Arab Rep.,,47.0,,,,,,49.0,MNE,157.0,4774.0
2017.0,Mauritania,Syrian Arab Rep.,464.0,112.0,,,,,,576.0,MRT,154.0,5025.0
2017.0,Malaysia,Syrian Arab Rep.,372.0,1937.0,,,,,,2309.0,MYS,37.0,314500.0
2017.0,Niger,Syrian Arab Rep.,7.0,,,,,,,7.0,NER,144.0,8120.0
2017.0,Nigeria,Syrian Arab Rep.,154.0,60.0,,,,,,214.0,NGA,30.0,375771.0
2017.0,Netherlands,Syrian Arab Rep.,30851.0,668.0,,,,,,31519.0,NLD,18.0,826200.0
2017.0,Norway,Syrian Arab Rep.,11498.0,17.0,,,,,,11515.0,NOR,28.0,398832.0
2017.0,New Zealand,Syrian Arab Rep.,65.0,,,,,,,69.0,NZL,50.0,205853.0
2017.0,Oman,Syrian Arab Rep.,7.0,6.0,,,,,,13.0,OMN,71.0,72643.0
2017.0,Pakistan,Syrian Arab Rep.,29.0,,,,,,,29.0,PAK,40.0,304952.0
2017.0,Panama,Syrian Arab Rep.,,11.0,,,,,,11.0,PAN,74.0,61838.0
2017.0,Peru,Syrian Arab Rep.,38.0,,,,,,,41.0,PER,49.0,211389.0
2017.0,Philippines,Syrian Arab Rep.,74.0,40.0,,,,,,114.0,PHL,38.0,313595.0
2017.0,Poland,Syrian Arab Rep.,512.0,18.0,,,,,,530.0,POL,23.0,524510.0
2017.0,Portugal,Syrian Arab Rep.,307.0,,,,,,,307.0,PRT,46.0,217571.0
2017.0,Paraguay,Syrian Arab Rep.,53.0,26.0,,,,,,79.0,PRY,99.0,29735.0
2017.0,Qatar,Syrian Arab Rep.,34.0,,,,,,,35.0,QAT,54.0,167605.0
2017.0,Romania,Syrian Arab Rep.,2282.0,167.0,,,,,,2449.0,ROU,48.0,211803.0
2017.0,Russian Federation,Syrian Arab Rep.,1130.0,303.0,,,,,,1433.0,RUS,11.0,1577524.0
2017.0,Saudi Arabia,Syrian Arab Rep.,14.0,34.0,,,,,,48.0,SAU,19.0,683827.0
2017.0,Sudan,Syrian Arab Rep.,11240.0,439.0,,,,,,11679.0,SDN,59.0,117488.0
2017.0,Senegal,Syrian Arab Rep.,,21.0,,,,,,21.0,SEN,117.0,16375.0
2017.0,El Salvador,Syrian Arab Rep.,5.0,,,,,,,5.0,SLV,103.0,24805.0
2017.0,Somalia,Syrian Arab Rep.,172.0,,,,,,,176.0,SOM,146.0,7369.0
2017.0,Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,73.0,,,,,,,75.0,,,
2017.0,Slovakia,Syrian Arab Rep.,17.0,,,,,,,17.0,,,
2017.0,Slovenia,Syrian Arab Rep.,215.0,9.0,,,,,,224.0,SVN,84.0,48770.0
2017.0,Sweden,Syrian Arab Rep.,103614.0,3531.0,,,,,,107145.0,SWE,22.0,538040.0
2017.0,Chad,Syrian Arab Rep.,39.0,29.0,,,,,,68.0,TCD,138.0,9981.0
2017.0,Togo,Syrian Arab Rep.,,9.0,,,,,,9.0,TGO,155.0,4813.0
2017.0,Thailand,Syrian Arab Rep.,327.0,9.0,,,,,,336.0,THA,25.0,455221.0
2017.0,Trinidad and Tobago,Syrian Arab Rep.,53.0,32.0,,,,,,85.0,TTO,108.0,22105.0
2017.0,Tunisia,Syrian Arab Rep.,603.0,,,,,,,603.0,TUN,92.0,40257.0
2017.0,Turkey,Syrian Arab Rep.,3424237.0,163.0,,,,,,3424400.0,TUR,17.0,851102.0
2017.0,Uganda,Syrian Arab Rep.,7.0,12.0,,,,,,19.0,UGA,101.0,25891.0
2017.0,Ukraine,Syrian Arab Rep.,483.0,520.0,,,,,,1003.0,UKR,60.0,112154.0
2017.0,Uruguay,Syrian Arab Rep.,61.0,,,,,,,62.0,URY,77.0,56157.0
2017.0,United States,Syrian Arab Rep.,7282.0,3358.0,,,,,,10640.0,USA,1.0,19390604.0
2017.0,Yemen,Syrian Arab Rep.,3286.0,496.0,,,,,,3782.0,,,
2017.0,South Africa,Syrian Arab Rep.,45.0,,,,,,,45.0,ZAF,32.0,349419.0
