state,date_installed,incentive_prog_names,type,size_kw,appraised,zipcode,install_type,installer,cost_per_watt,cost,lbnl_tts_version_year,lbnl_tts,city,utility_clean,tech_1,model1_clean,county,annual_PV_prod,annual_insolation,rebate,sales_tax_cost,tilt1,tracking_type,azimuth1,manuf2_clean,manuf3_clean,manuf1_clean,inv_man_clean,reported_annual_energy_prod,incentivetype,year_app_implied,year,npv_fit_real,application_implied,npv_pbi_real,other_incentive,appraised_cluster,inflation,other_incentive_real,zip_available,cust_city,pbi,pbi_real,pbi_length,application,fit_length,fit_rate,fit_payment,_3rdparty_implied,utility,install_price_real_w,install_price,installer_clean,manuf1_,inverter_reported,rebate_real,model1,_3rdparty,inv_model_reported,microinv_solarhub,bipv_3,bipv_2,bipv_1,sales_tax_rate,sales_tax_cost_real,bipv_all,thinfilm_all,china,sys_sizeac,pbi_rate,new_constr,effic_1,cust_county,tracking,inv_model_clean,mod_cost_real,inv_cost_real,bos_powerclerk_real,permitting_real,3rdparty,Filters=maxdate=1534723200&mindate=1514764800
OH,02/21/2018,,uir,7.92,,44805,Residential,Paradise Energy Solutions LLC,3.78,29920,,,Ashland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,03/03/2018,,uir,11.78,,49682,Residential,,2.72,32000,,,Suttons Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,03/03/2018,,uir,15.18,,17320,Residential,Paradise Energy Solutions LLC,2.99,45320,,,Fairfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,03/06/2018,,uir,13.2,,23901,Residential,Paradise Energy Solutions LLC,3.18,42040,,,Farmville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,03/09/2018,,uir,13.55,,76023,Residential,Axium Solar,3.39,45900,,,Boyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,03/09/2018,,uir,10.56,,18969,Residential,Paradise Energy Solutions LLC,3.28,34640,,,Telford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,03/09/2018,,uir,5.2,,17737,Residential,Paradise Energy Solutions LLC,3.81,19820,,,Hughesville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,03/09/2018,,uir,24.75,,21795,Commercial,Paradise Energy Solutions LLC,2.59,64180,,,Williamsport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,03/16/2018,,uir,11.7,,12072,Residential,Paradise Energy Solutions LLC,3.54,41370,,,Fultonville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,03/20/2018,,uir,122.85,,21740,Commercial,Paradise Energy Solutions LLC,1.68,206700,,,Hagerstown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,03/20/2018,,uir,27.3,,12095,Commercial,Paradise Energy Solutions LLC,2.54,69270,,,Johnstown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,03/26/2018,,uir,5.36,,21850,Residential,Paradise Energy Solutions LLC,4.44,23810,,,Pittsville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,03/29/2018,,uir,10.89,,17022,Residential,Paradise Energy Solutions LLC,2.41,26200,,,Elizabethtown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,04/16/2018,,uir,62.08,,43019,Commercial,Paradise Energy Solutions,2.88,178500,,,Fredericktown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,04/17/2018,,uir,7.59,,17765,Residential,Paradise Energy Solutions,3.6,27300,,,Roaring Branch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,04/17/2018,,uir,10.56,,23336,Residential,Paradise Energy Solutions,3.45,36410,,,Chincoteague Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH ,04/17/2018,,uir,10.23,,44681,Residential,Paradise Energy Solutions,2.74,28040,,,Sugarcreek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,04/17/2018,,uir,5.94,,20902,Residential,Paradise Energy Solutions  ,4.32,25670,,,Silver Spring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,04/21/2018,,uir,14.16,,47720,Residential,Whole Sun Designs,1.91,27000,,,Evansville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,04/21/2018,,uir,4.425,,47620,Residential,Whole Sun Designs,2.82,12500,,,Mt. Vernon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
